País,Casos totales,Nuevos casos,Muertes totales,Nuevas muertes,Recuperados,Casos activos,Casos críticos,Casis/1M habit.
China,80894,13,3237,11,69614,8043,2622,56.0
Italy,31506,0,2503,0,2941,26062,2060,521.0
Iran,16169,0,988,0,5389,9792,0,193.0
Spain,11826,0,533,0,1028,10265,563,253.0
Germany,9367,0,26,0,67,9274,2,112.0
S. Korea,8413,93,84,3,1540,6789,59,164.0
France,7730,0,175,0,602,6953,699,118.0
USA,6515,104,115,6,106,6294,12,20.0
Switzerland,2742,0,27,0,15,2700,0,317.0
UK,1950,0,71,0,65,1814,20,29.0
Netherlands,1705,0,43,0,2,1660,45,100.0
Norway,1471,0,3,0,1,1467,27,271.0
Austria,1332,0,4,0,9,1319,12,148.0
Belgium,1243,0,10,0,14,1219,33,107.0
Sweden,1196,0,8,0,1,1187,12,118.0
Denmark,977,0,4,0,1,972,18,169.0
Japan,882,4,29,0,144,709,41,7.0
Diamond Princess,712,0,7,0,456,249,14,0.0
Malaysia,673,0,2,0,49,622,10,21.0
Canada,598,0,8,0,12,578,1,16.0
Australia,560,105,6,1,43,511,1,22.0
Portugal,448,0,1,0,3,444,18,44.0
Qatar,442,0,0,0,4,438,0,153.0
Czechia,434,0,0,0,3,431,2,41.0
Greece,387,0,5,0,14,368,11,37.0
Brazil,346,0,1,0,2,343,18,2.0
Israel,337,0,0,0,11,326,5,39.0
Finland,322,0,0,0,10,312,2,58.0
Ireland,292,0,2,0,5,285,6,59.0
Slovenia,275,0,1,0,0,274,4,132.0
Singapore,266,0,0,0,114,152,14,45.0
Iceland,247,0,0,0,5,242,1,724.0
Pakistan,247,0,0,0,2,245,0,1.0
Bahrain,241,0,1,0,88,152,3,142.0
Poland,238,0,5,0,1,232,3,6.0
Estonia,225,0,0,0,1,224,0,170.0
Romania,217,0,0,0,19,198,5,11.0
Thailand,212,35,1,0,41,170,1,3.0
Chile,201,0,0,0,0,201,3,11.0
Egypt,196,0,6,0,26,164,0,2.0
Philippines,193,6,14,0,4,175,1,2.0
Indonesia,172,0,7,0,9,156,0,0.6
Saudi Arabia,171,0,0,0,6,165,0,5.0
Hong Kong,168,0,4,0,81,83,4,22.0
Iraq,154,0,11,0,41,102,0,4.0
India,147,4,3,0,14,130,0,0.1
Luxembourg,140,0,1,0,0,139,1,224.0
Kuwait,130,0,0,0,12,118,4,30.0
Lebanon,124,0,4,0,4,116,3,18.0
San Marino,119,0,11,0,4,104,11,3507.0
Peru,117,0,0,0,1,116,8,4.0
Russia,114,0,0,0,8,106,0,0.8
UAE,113,0,0,0,26,87,2,11.0
Ecuador,111,0,2,0,0,109,2,6.0
Turkey,98,0,1,0,0,97,0,1.0
Slovakia,97,0,0,0,0,97,2,18.0
Mexico,93,11,0,0,4,89,1,0.7
South Africa,85,0,0,0,0,85,0,1.0
Bulgaria,81,0,2,0,0,79,0,12.0
Argentina,79,0,2,0,3,74,1,2.0
Armenia,78,0,0,0,1,77,2,26.0
Taiwan,77,0,1,0,20,56,0,3.0
Serbia,72,0,0,0,1,71,4,8.0
Panama,69,0,1,0,0,68,7,16.0
Croatia,69,0,0,0,5,64,0,17.0
Vietnam,68,2,0,0,16,52,0,0.7
Colombia,65,0,0,0,1,64,0,1.0
Algeria,61,0,5,0,10,46,0,1.0
Latvia,60,0,0,0,1,59,0,32.0
Brunei,56,0,0,0,0,56,1,128.0
Albania,55,0,1,0,0,54,2,19.0
Hungary,50,0,1,0,2,47,0,5.0
Costa Rica,50,0,0,0,0,50,3,10.0
Uruguay,50,0,0,0,0,50,0,14.0
Cyprus,49,0,0,0,0,49,1,41.0
Jordan,48,0,0,0,1,47,0,5.0
Faeroe Islands,47,0,0,0,0,47,0,962.0
Morocco,44,0,2,0,1,41,1,1.0
Sri Lanka,44,0,0,0,1,43,0,2.0
Palestine,44,0,0,0,0,44,0,9.0
Andorra,39,0,0,0,1,38,0,505.0
Malta,38,0,0,0,2,36,0,86.0
Belarus,36,0,0,0,3,33,0,4.0
Azerbaijan,34,0,1,0,6,27,0,3.0
Georgia,34,0,0,0,1,33,1,9.0
Bosnia and Herzegovina,34,0,0,0,2,32,0,10.0
Cambodia,33,0,0,0,1,32,0,2.0
Oman,33,0,0,0,12,21,0,6.0
Kazakhstan,33,0,0,0,0,33,0,2.0
Venezuela,33,0,0,0,0,33,0,1.0
North Macedonia,31,0,0,0,1,30,1,15.0
Moldova,30,0,0,0,1,29,1,7.0
Senegal,27,0,0,0,2,25,0,2.0
Lithuania,26,0,0,0,1,25,1,10.0
Tunisia,25,0,0,0,1,24,2,2.0
Afghanistan,22,0,0,0,1,21,0,0.6
Dominican Republic,21,0,1,0,0,20,0,2.0
New Zealand,20,0,0,0,0,20,0,4.0
Liechtenstein,19,0,0,0,0,19,0,498.0
Guadeloupe,18,0,0,0,0,18,0,45.0
Martinique,15,0,1,0,0,14,0,40.0
Burkina Faso,15,0,0,0,0,15,0,0.7
Ukraine,14,0,2,0,0,12,0,0.3
Macao,13,0,0,0,10,3,0,20.0
Jamaica,13,0,0,0,2,11,0,4.0
Maldives,13,0,0,0,0,13,0,24.0
Uzbekistan,13,2,0,0,0,13,0,0.4
Bolivia,12,0,0,0,0,12,0,1.0
French Guiana,11,0,0,0,0,11,0,37.0
Bangladesh,10,0,0,0,3,7,0,0.06
Cameroon,10,0,0,0,0,10,0,0.4
Monaco,9,0,0,0,0,9,0,229.0
Paraguay,9,0,0,0,0,9,1,1.0
Réunion,9,0,0,0,0,9,0,10.0
Guatemala,8,0,1,0,0,7,0,0.4
Honduras,8,0,0,0,0,8,0,0.8
Rwanda,8,1,0,0,0,8,0,0.6
Guyana,7,0,1,0,0,6,0,9.0
Cuba,7,0,0,0,0,7,0,0.6
Ghana,7,0,0,0,0,7,0,0.2
Trinidad and Tobago,7,2,0,0,0,7,0,5.0
Channel Islands,6,0,0,0,0,6,0,35.0
Ethiopia,6,0,0,0,0,6,0,0.05
Guam,5,0,0,0,0,5,0,30.0
Mongolia,5,0,0,0,0,5,0,2.0
Puerto Rico,5,0,0,0,0,5,0,2.0
Ivory Coast,4,0,0,0,0,4,0,0.2
Kenya,4,0,0,0,0,4,0,0.07
Seychelles,4,0,0,0,0,4,0,41.0
Nigeria,3,0,0,0,1,2,0,0.01
Aruba,3,0,0,0,0,3,0,28.0
Curaçao,3,0,0,0,0,3,0,18.0
DRC,3,0,0,0,0,3,0,0.03
French Polynesia,3,0,0,0,0,3,0,11.0
Gibraltar,3,0,0,0,2,1,0,89.0
Kyrgyzstan,3,3,0,0,0,3,0,0.5
Mayotte,3,0,0,0,0,3,0,11.0
St. Barth,3,0,0,0,0,3,0,304.0
Barbados,2,0,0,0,0,2,0,7.0
Liberia,2,0,0,0,0,2,0,0.4
Montenegro,2,0,0,0,0,2,0,3.0
Namibia,2,0,0,0,0,2,0,0.8
Saint Lucia,2,0,0,0,0,2,0,11.0
Saint Martin,2,0,0,0,0,2,0,52.0
U.S. Virgin Islands,2,0,0,0,0,2,0,19.0
Cayman Islands,1,0,1,0,0,0,0,15.0
Sudan,1,0,1,0,0,0,0,0.02
Nepal,1,0,0,0,1,0,0,0.03
Antigua and Barbuda,1,0,0,0,0,1,0,10.0
Bahamas,1,0,0,0,0,1,0,3.0
Benin,1,0,0,0,0,1,0,0.08
Bhutan,1,0,0,0,0,1,0,1.0
CAR,1,0,0,0,0,1,0,0.2
Congo,1,0,0,0,0,1,0,0.2
Equatorial Guinea,1,0,0,0,0,1,0,0.7
Gabon,1,0,0,0,0,1,0,0.4
Gambia,1,0,0,0,0,1,0,0.4
Greenland,1,0,0,0,0,1,0,18.0
Guinea,1,0,0,0,0,1,0,0.08
Vatican City,1,0,0,0,0,1,0,1248.0
Mauritania,1,0,0,0,0,1,0,0.2
St. Vincent Grenadines,1,0,0,0,0,1,0,9.0
Somalia,1,0,0,0,0,1,0,0.06
Suriname,1,0,0,0,0,1,0,2.0
Eswatini,1,0,0,0,0,1,0,0.9
Tanzania,1,0,0,0,0,1,0,0.02
Togo,1,0,0,0,0,1,0,0.1
